OrderID,Product,Category,Quantity,Price,OrderDate,City
1001,Keyboard,Accessories,1,1500,07-01-2023,Pune
1002,Mobile,Electronics,2,22000,05-02-2023,Delhi
1003,Keyboard,Accessories,1,1500,01-06-2023,Bangalore
1004,Laptop,Electronics,1,65000,24-01-2023,Mumbai
1005,Mobile,Electronics,1,22000,24-05-2023,Mumbai
1006,Keyboard,Accessories,4,1500,26-02-2023,Bangalore
1007,Smartwatch,Accessories,3,8000,02-01-2023,Mumbai
1008,Keyboard,Accessories,4,1500,29-03-2023,Pune
1009,Mobile,Electronics,2,22000,28-03-2023,Delhi
1010,Laptop,Electronics,4,65000,25-01-2023,Pune
1011,Tablet,Electronics,3,30000,12-01-2023,Bangalore
1012,Smartwatch,Accessories,1,8000,07-04-2023,Delhi
1013,Smartwatch,Accessories,3,8000,10-06-2023,Chennai
1014,Tablet,Electronics,2,30000,30-06-2023,Delhi
1015,Laptop,Electronics,2,65000,16-03-2023,Delhi
1016,Mobile,Electronics,1,22000,08-04-2023,Pune
1017,Headphones,Accessories,3,2500,11-02-2023,Pune
1018,Tablet,Electronics,2,30000,21-06-2023,Pune
1019,Keyboard,Accessories,1,1500,05-06-2023,Mumbai
1020,Smartwatch,Accessories,2,8000,11-02-2023,Bangalore
1021,Headphones,Accessories,3,2500,13-06-2023,Chennai
1022,Mobile,Electronics,3,22000,15-01-2023,Mumbai
1023,Laptop,Electronics,3,65000,13-04-2023,Pune
1024,Laptop,Electronics,2,65000,26-05-2023,Pune
1025,Mobile,Electronics,4,22000,12-04-2023,Bangalore
1026,Mobile,Electronics,3,22000,05-02-2023,Mumbai
1027,Keyboard,Accessories,3,1500,30-05-2023,Bangalore
1028,Smartwatch,Accessories,4,8000,03-04-2023,Mumbai
1029,Mobile,Electronics,4,22000,24-01-2023,Delhi
1030,Laptop,Electronics,2,65000,10-06-2023,Mumbai
1031,Keyboard,Accessories,4,1500,02-06-2023,Delhi
1032,Headphones,Accessories,4,2500,02-06-2023,Bangalore
1033,Smartwatch,Accessories,3,8000,22-05-2023,Delhi
1034,Keyboard,Accessories,1,1500,24-06-2023,Chennai
1035,Tablet,Electronics,3,30000,29-01-2023,Pune
1036,Headphones,Accessories,2,2500,27-04-2023,Delhi
1037,Keyboard,Accessories,3,1500,09-05-2023,Mumbai
1038,Smartwatch,Accessories,1,8000,10-06-2023,Pune
1039,Keyboard,Accessories,2,1500,09-02-2023,Pune
1040,Mobile,Electronics,1,22000,03-06-2023,Pune
