EmployeeID,Age,Gender,Department,JobRole,MonthlyIncome,YearsAtCompany,YearsSinceLastPromotion,JobSatisfaction,WorkLifeBalance,Attrition
1,38,Male,HR,Analyst,111530,3,0,1,1,No
2,26,Male,HR,Clerk,93907,1,0,1,2,No
3,58,Female,Sales,Analyst,106506,7,7,4,3,No
4,42,Male,Sales,Executive,27676,4,1,3,3,No
5,55,Male,Finance,Manager,87357,1,1,3,3,Yes
6,35,Female,Sales,Analyst,28238,2,0,4,3,No
7,44,Female,HR,Developer,106988,11,2,1,2,Yes
8,45,Female,Operations,Analyst,104733,5,3,3,1,Yes
9,46,Female,Sales,Analyst,89341,1,1,3,2,No
10,50,Male,IT,Analyst,47325,12,10,3,4,No
11,29,Female,Sales,Manager,29371,11,3,2,2,No
12,45,Female,Operations,Developer,87512,2,1,1,1,No
13,39,Female,HR,Executive,15425,10,1,3,2,Yes
14,59,Male,HR,Developer,114943,9,8,2,1,No
15,28,Female,IT,Analyst,22592,15,0,2,1,Yes
16,55,Male,HR,Executive,87063,15,2,2,3,No
17,33,Female,Finance,Developer,72422,6,4,4,1,Yes
18,42,Male,Operations,Clerk,45161,7,1,2,1,Yes
19,25,Male,IT,Manager,82391,1,0,2,3,No
20,29,Female,HR,Executive,68354,6,4,2,1,Yes
21,48,Female,Finance,Manager,103259,13,5,1,1,No
22,36,Male,HR,Clerk,73800,10,1,2,4,Yes
23,36,Male,Finance,Clerk,27833,8,7,1,1,Yes
24,47,Female,Finance,Analyst,67565,7,2,1,2,No
25,37,Female,IT,Executive,106303,0,0,4,2,Yes
26,24,Male,IT,Manager,21572,9,3,4,2,Yes
27,25,Male,HR,Executive,30713,2,0,2,1,Yes
28,58,Female,IT,Analyst,102782,13,10,3,2,No
29,40,Female,IT,Manager,16220,12,2,4,1,Yes
30,37,Male,IT,Manager,47018,6,4,3,3,Yes
31,55,Female,Operations,Clerk,16025,14,13,3,1,Yes
32,27,Male,IT,Developer,94276,8,1,2,3,Yes
33,52,Female,Sales,Manager,98136,8,8,4,3,Yes
34,29,Female,HR,Executive,87309,0,0,4,1,Yes
35,30,Male,IT,Clerk,87420,2,2,2,4,Yes
36,44,Male,IT,Analyst,104399,1,1,2,1,No
37,30,Male,HR,Analyst,69040,13,9,1,2,No
38,36,Female,HR,Manager,65140,13,12,1,4,Yes
39,50,Female,IT,Analyst,44219,6,6,1,2,No
40,25,Female,IT,Clerk,67386,10,4,3,1,Yes
41,58,Female,Sales,Manager,93193,8,2,4,3,No
42,53,Male,Finance,Clerk,39914,13,9,3,1,No
43,44,Female,Sales,Developer,96678,0,0,3,1,No
44,41,Female,IT,Clerk,31683,9,6,2,4,No
45,57,Female,Finance,Clerk,15053,5,4,3,3,Yes
46,58,Female,Finance,Executive,72954,13,12,2,4,Yes
47,53,Female,Sales,Analyst,103184,2,1,3,2,Yes
48,23,Male,Finance,Clerk,115727,4,0,1,4,No
49,45,Female,Finance,Analyst,34342,6,5,1,1,No
50,54,Female,Sales,Clerk,47662,7,2,1,4,Yes
51,54,Female,Finance,Clerk,109276,14,10,4,4,Yes
52,37,Male,IT,Clerk,78517,15,14,2,3,No
53,39,Male,IT,Developer,56904,2,2,1,2,Yes
54,30,Male,Sales,Executive,68424,7,6,3,4,No
55,47,Female,Operations,Manager,115348,1,0,4,4,Yes
