order_id,date,customer,product,category,amount
1,2026-04-10,Customer_92,,Food,71245rs
2,2026-01-09,Customer_605,Pizza,Food,62655
3,2026-03-27,Customer_290,Fries,Food,4346
4,2026-02-26,Customer_628,Pizza,Food,53536
5,2026-03-13,Customer_7,Roll,Food,68093
6,2026-01-08,Customer_290,Roll,Food,31037
7,2026-03-17,Customer_78,Fries,Food,94688
8,2026-03-04,Customer_776,Roll,Food,77866
9,2026-02-27,Customer_480,Pizza,Food,2474rs
10,2026-04-06,Customer_41,Burger,Food,33962
11,2026-02-15,Customer_387,Combo,Food,14990
12,2026-01-05,Customer_170,Pasta,Food,6054
13,2026-03-07,Customer_789,Combo,Food,36290
14,2026-02-12,Customer_488,,Food,53917
15,2026-04-21,Customer_714,Pasta,Food,13649
16,2026-04-10,Customer_775,Combo,Food,32043
17,2026-03-25,Customer_94,Pizza,Food,69374
18,2026-03-16,Customer_167,Sandwich,Food,44305
19,2026-03-01,Customer_325,Burger,Food,68953
20,2026-03-27,Customer_566,Roll,Food,60643
21,2026-02-14,Customer_407,Roll,Food,N/A
22,2026-01-05,Customer_126,Sandwich,Food,44468rs
23,2026-01-14,Customer_569,Pizza,Food,43715
24,2026-01-26,Customer_201,Pizza,Food,48341
25,2026-01-31,Customer_606,Fries,Food,12381
26,2026-02-24,Customer_755,Fries,Food,N/A
27,2026-03-11,Customer_25,Combo,Food,97310
28,2026-02-12,Customer_719,Sandwich,Food,27109
29,2026-02-10,Customer_275,Sandwich,Food,5222
30,2026-03-10,Customer_789,Sandwich,Food,87951rs
31,2026-04-19,Customer_278,Roll,Food,33524
32,2026-04-21,Customer_591,Pizza,Food,21594
33,2026-05-01,Customer_692,Pizza,Food,7754
34,2026-01-10,Customer_412,Pizza,Food,89307
35,2026-03-24,Customer_499,Fries,Food,6369
36,2026-01-05,Customer_705,Burger,Food,38902
37,2026-02-05,Customer_529,Roll,Food,45631
38,2026-03-21,Customer_60,Roll,Food,99686
39,2026-01-12,Customer_380,Fries,Food,58356
40,2026-01-12,Customer_101,Roll,Food,31463
41,2026-01-14,Customer_683,,Food,34743
42,2026-02-24,Customer_14,Biryani,Food,58437
43,2026-02-18,Customer_5,Fries,Food,73509
44,2026-04-25,Customer_335,Pasta,Food,N/A
45,2026-01-19,Customer_116,Pasta,Food,9465
46,2026-04-26,Customer_107,Roll,Food,95482
47,2026-04-10,Customer_57,Combo,Food,21109
48,2026-04-19,Customer_280,,Food,40903rs
49,2026-02-05,Customer_328,Burger,Food,38605
50,2026-01-12,,Biryani,Food,97566
51,2026-01-21,Customer_422,Pizza,Food,59975
52,2026-02-01,Customer_111,Biryani,Food,67213
53,2026-04-08,Customer_643,Burger,Food,58055
54,2026-03-16,Customer_497,Combo,Food,29748
55,2026-04-08,Customer_204,Sandwich,Food,31212
56,2026-02-03,Customer_334,Sandwich,Food,12657
57,2026-03-31,Customer_162,Burger,Food,10394
58,2026-03-26,Customer_403,,Food,62049
59,2026-04-25,Customer_705,Sandwich,Food,1967
60,2026-02-13,Customer_320,,Food,14851
61,2026-03-07,Customer_452,Pizza,Food,N/A
62,2026-02-24,Customer_444,,Food,60827
63,2026-01-24,Customer_399,Sandwich,Food,40942
64,2026-04-12,Customer_336,Fries,Food,20271
65,2026-02-04,Customer_400,Pasta,Food,49072
66,2026-04-30,Customer_146,Biryani,Food,64069
67,2026-01-30,,Pasta,food,79304
68,2026-01-12,Customer_554,Fries,Food,3561
69,2026-01-02,Customer_794,Combo,Food,22162
70,2026-01-29,Customer_664,Burger,Food,68919
71,2026-04-02,Customer_763,Sandwich,Food,68256
72,2026-03-19,Customer_68,Biryani,Food,87605
73,2026-01-20,Customer_165,Burger,Food,6852
74,2026-01-01,Customer_171,Burger,Food,66932
75,2026-04-18,Customer_617,Pasta,Food,76559rs
76,2026-04-08,Customer_78,Pasta,Food,6171
77,2026-03-02,Customer_69,Fries,Food,61853
78,2026-04-03,Customer_670,Combo,food,42877
79,2026-04-25,Customer_460,Fries,Food,16119
